Kerusakan,Keterangan,Kategori
Masalah Sistem Knalpot,"Sistem pembuangan bertanggung jawab untuk menghilangkan gas limbah yang dihasilkan oleh mesin dan mengeluarkannya dari kendaraan. 
Gejala: Asap dari knalpot: Asap yang berasal dari knalpot dapat mengindikasikan masalah dengan sistem pembuangan. Misalnya; asap putih tebal dapat mengindikasikan adanya masalah pada proses pembakaran; sedangkan asap biru dapat mengindikasikan bahwa oli sedang terbakar di dalam mesin; Suara knalpot yang keras: Suara knalpot yang keras dapat mengindikasikan masalah dengan knalpot atau pipa knalpot. Hal ini bisa disebabkan oleh lubang atau kebocoran pada sistem pembuangan; Suara berderak: Suara berderak yang berasal dari sistem pembuangan dapat mengindikasikan komponen yang longgar atau rusak; seperti pelindung panas atau gantungan; Penurunan efisiensi bahan bakar: Penurunan efisiensi bahan bakar dapat disebabkan oleh masalah dengan sistem pembuangan; seperti katalis konverter yang tersumbat Getaran: Getaran pada kendaraan dapat disebabkan oleh komponen sistem pembuangan yang rusak; seperti knalpot atau pipa knalpot.
Penyebab: Kebocoran kompresi; Nyala api busi yang kecil; Karburator bermasalah; Filter udara kotor; Usia kendaraan karena bahan penyusun knalpot adalah plat besi sehingga bisa terjadi korosi yang menyebabkan knalpot bocor; Pembakaran yang tak sempurna di bagian dalam mesin sehingga mengeluarkan asap knalpot yang tidak wajar; Terlalu banyak campuran bahan bakar yang menyebabkan bensin tidak bercampur dengan molekul udara sesuai rasio yang tepat; Kotoran yang menghalangi udara bersih mencapai mesin sehingga memengaruhi sistem kontrol emisi",Filter Udara;Oli;Bahan Bakar;Cleaner;Pemasangan
Masalah Transmisi,"Masalah transmisi kendaraan roda empat adalah kondisi di mana sistem transmisi kendaraan mengalami kerusakan atau gangguan yang mengakibatkan kinerjanya tidak optimal. Sistem transmisi kendaraan berfungsi untuk mentransfer tenaga dari mesin ke roda kendaraan sehingga kendaraan dapat bergerak. Masalah pada sistem transmisi kendaraan dapat menyebabkan kendaraan tidak dapat bergerak atau bergerak dengan performa yang buruk.
Gejala/Indikasi: Telat respons saat menginjak pedal gas; Suara mendengung atau berisik dari sistem transmisi; Kebocoran cairan transmisi; Bau terbakar dari cairan transmisi; Warna cairan transmisi yang berubah menjadi gelap; Sulit mengoperasikan gigi; Getaran atau guncangan saat kendaraan bergerak; Overheat pada mesin kendaraan; Tidak bisa bergerak atau terhenti di tengah jalan; Lampu indikator transmisi menyala
Penyebab: Kurangnya perawatan atau penggantian cairan transmisi secara berkala; Overheat pada mesin kendaraan; Kebocoran pada sistem transmisi; Kerusakan pada komponen sistem transmisi; seperti torque converter; kopling; atau bearing; Kesalahan dalam pengoperasian kendaraan; seperti menginjak pedal gas terlalu dalam atau terlalu cepat saat mengganti gigi; Umur kendaraan yang sudah tua dan sering digunakan",Oli;Transmisi;Pemasangan;Kopling;Joint;Bearing;Pemasangan;Cleaner
Masalah Suspensi,"Suspensi kendaraan roda empat adalah kumpulan komponen yang berfungsi meredam kejutan dan getaran yang terjadi pada kendaraan akibat permukaan jalan yang tidak rata. Fungsi suspensi pada kendaraan terletak di antara bodi (kerangka) dengan roda. Suspensi mobil memiliki sistem yang cukup kompleks dan terdiri dari beberapa komponen seperti per; shock absorber; anti-roll bar; atau control arm. Rutin melakukan spooring dan balancing pada keempat roda mobil juga dapat membantu mencegah terjadinya masalah suspensi kendaraan roda empat
Gejala/Indikasi: Suspensi tidak lurus; Shockbreaker bocor; Karet per rusak; Ball joint rusak; Control arm bengkok; Kaki-kaki tidak lurus; Bunyi berdecit setiap ada guncangan; Jarak berbelok lebih jauh dari biasanya; Suara seperti bunyi
Penyebab: Penggunaan kendaraan pada jalan yang berlubang atau tidak rata; Umur kendaraan yang sudah tua; Jarang melakukan perawatan berkala; Komponen suspensi yang sudah aus atau rusak; Kondisi jalan yang buruk; Kaki-kaki tidak terpasang dengan benar; Beban kendaraan yang terlalu berat; Benturan keras pada kendaraan",Shockbreaker;Spooring;Balancing;Hidrolik;Pemasangan
Gangguan Listrik,"Gangguan listrik pada kendaraan roda empat terjadi ketika ada masalah pada sistem listrik kendaraan yang mengakibatkan kinerja sistem menjadi tidak normal. Gangguan ini dapat terjadi pada berbagai komponen sistem listrik kendaraan; seperti aki; alternator; kabel; saklar; dan lain sebagainya.
Gejala/Indikasi: Lampu indikator pada dashboard menyala atau berkedip-kedip;Mesin sulit dihidupkan atau mati sendiri saat mesin hidup; Bunyi klik-klik saat mesin dihidupkan; Lampu kabin atau lampu depan redup; Aki cepat soak atau habis daya; Kelistrikan pada sistem audio atau AC tidak berfungsi
Penyebab: Aki yang lemah atau sudah habis masa pakainya; Alternator yang rusak atau tidak berfungsi dengan baik;	Kabel atau soket yang konsleting atau terputus; Saklar atau relay yang rusak atau tidak berfungsi dengan baik;	Komponen lain pada sistem listrik yang rusak atau tidak berfungsi dengan baik",Lampu;Listrik;Pemasangan
Masalah Sistem Bahan Bakar,"Masalah sistem bahan bakar kendaraan roda empat adalah kondisi ketika sistem bahan bakar kendaraan tidak berfungsi dengan baik. Hal ini dapat terjadi karena beberapa faktor; seperti kerusakan pada komponen sistem bahan bakar atau masalah pada proses pembakaran.
Gejala/Indikasi: Mesin sulit diaktifkan pada pagi hari; Mesin sulit diaktifkan saat panas; Mesin tersendat saat pedal gas diinjak untuk meningkatkan kecepatan; Mesin mobil sulit untuk dinyalakan; Mesin mobil brebet; Respon pedal gas telat; Suara menggelitik atau ketukan yang berasal dari mesin mobil.
Penyebab Terjadi Masalah: Sistem kelistrikan (mulai dari alternator; aki; hingga kabel-kabel yang kendur atau putus); Rangkaian pengapian yang bermasalah;	Fuel pump bermasalah; Karbon yang mengendap di ruang pembakaran; Setting bahan bakar dan udara tidak akurat.",Bahan Bakar;Cleaner;Pemasangan;Kruk As
Masalah Kemudi,"Sistem kemudi kendaraan berfungsi sebagai pengatur arah kendaraan dengan cara membelokkan roda depan. Setir mobil adalah komponen awal dalam sistem kemudi yang bisa memudahkan pengemudi membelokkan posisi roda depan.
Gejala/indikasi: Setir mobil menarik ke salah satu sisi; Setir mobil terasa berat dan susah dikontrol; Setir mobil lari ke kiri atau kanan; Suara berdengung atau memekik ketika melaju di kecepatan rendah.
Penyebab: Keselarasan (alignment) ban yang tidak sesuai; Kerusakan atau bengkoknya komponen setir; Sistem power steering mengalami sumbatan atau seal-nya rusak; Ban yang berbeda ukuran atau kempes; Kurangnya oli power steering dalam tangki; Pompa oli yang tidak bekerja optimal; Sumbatan pada pompa karena oli jarang diganti sehingga kotor atau menggunakan oli yang tidak sesuai rekomendasi; Kerusakan pada bagian understeel atau kedua kaki-kaki roda ban mobil; Keausan pada seteering gear; Linkage joint aus; Pemasangan linkage bracket longgar; Bantalan roda longgar;	Penyetelan rem tidak sesuai.",Stir;Stabilizer;Pemasangan;As;Spooring;Balancing
Masalah Ban,"Masalah ban dapat meliputi keausan yang tidak merata; kebocoran pada ban; atau kerusakan pada sidewall ban. Ini dapat mengakibatkan ketahanan ban yang menurun; kecelakaan akibat kehilangan traksi; atau kegagalan ban saat berkendara.
Gejala/Indikasi: Getaran pada kendaraan; Masalah dengan kemudi; Telapak ban aus tidak merata; Mobil menjadi boros bahan bakar; Keausan ban depan dan belakang yang tidak merata; Perubahan dalam pegangan atau respons kemudi kendaraan (misalnya; tertarik ke satu sisi)
Penyebab: Kondisi permukaan jalan yang buruk; seperti jalan yang berbatu atau aspal yang berlobang; Tekanan ban yang tidak tepat; baik terlalu besar maupun terlalu kecil; Kurangnya perawatan ban; seperti tidak rutin membersihkan ban; tidak rutin cek tekanan angin ban; dan parkir di bawah terik matahari; Balance roda yang kurang bagus dan suspensi yang tidak berfungsi dengan baik; Ban melindas benda tajam; Rem mendadak",Ban;Spooring;Balancing;Stabilizer;Pemasangan
Masalah Mesin,"Masalah mesin dapat meliputi masalah pada sistem pembakaran; kebocoran pada komponen mesin; atau kerusakan pada bagian penting seperti piston atau katup. Ini dapat mengakibatkan performa mesin yang buruk; kehilangan tenaga; atau bahkan kegagalan mesin.
Gejala atau indikasi: Mesin sulit diaktifkan pada pagi hari; Mesin sulit diaktifkan saat panas; Mesin tersendat saat pedal gas diinjak untuk meningkatkan kecepatan;	Suara mesin kasar atau berisik; Mesin mengeluarkan asap yang berlebihan; Mesin mengeluarkan bau yang tidak sedap; Mesin mengalami knocking atau detonation; Getaran yang tidak normal pada mesin kendaraan
Penyebab: Sistem kelistrikan yang bermasalah; seperti aki yang lemah atau kabel busi yang rusak; Sistem bahan bakar yang bermasalah; seperti bahan bakar yang kotor atau filter bahan bakar yang tersumbat; Sistem pendingin yang bermasalah; seperti radiator yang bocor atau kipas yang tidak berfungsi; Sistem pelumasan yang bermasalah; seperti oli yang kotor atau kurang; Penggunaan bahan bakar yang tidak sesuai dengan spesifikasi kendaraan; Pemilihan busi yang salah; Pre-ignition atau detonation pada ruang bakar",Busi;Mesin;Overhoul;Cleaner;Piston;Oli;Bearing;Pemasangan;Engine Mounting
Kegagalan Rem,"Kegagalan rem dapat meliputi ausnya kampas rem; kebocoran pada sistem rem; atau masalah pada kaliper rem. Ini dapat mengakibatkan jarak pengereman yang lebih panjang; pedal rem yang tidak responsif; atau bahkan kegagalan rem saat berkendara.
Gejala/Indikasi:	Pedal rem terasa terlalu ringan atau dalam; Suara bising pada rem ketika melakukan pengereman;	Mobil bergerak ke salah satu sisi saat melakukan pengereman; Kemudi bergetar pada saat pengereman;	Rem bergetar saat melakukan pengereman
Penyebab: Proses pemakaian kampas rem yang melebihi waktu anjuran; Piringan cakram atau rem yang tidak rata atau penyok; Kekurangan minyak rem; Komponen rem yang tidak standar; Kebocoran pada selang minyak rem atau sensor ABS terganggu karena pemasangan kampas rem; Kerusakan pada katup atau master silinder yang tidak dipasang dengan benar; Cakram yang tidak rata akibat mobil sudah lama tidak digunakan",Rem
Masalah Sistem Pendingin,"Masalah sistem pendingin kendaraan roda empat terjadi ketika sistem pendingin mesin tidak berfungsi dengan baik atau tidak optimal. Sistem pendingin mesin pada kendaraan roda empat berfungsi untuk menjaga suhu operasi mesin tetap ideal sehingga mesin dapat terus beroperasi secara optimal.
Gejala/Indikasi: Mesin panas saat AC mati; Mesin panas saat kecepatan tinggi; Mesin panas saat berhenti di lampu merah atau kemacetan; Kipas pendingin tidak berfungsi; Kebocoran pada sistem pendingin; Cairan pendingin mesin berkurang; Indikator suhu mesin menunjukkan suhu yang lebih tinggi dari biasanya; Suara mesin lebih keras dari biasanya; Mesin mati secara tiba-tiba.
Penyebab: Kebocoran pada sistem pendingin; Kipas pendingin yang rusak atau tidak berfungsi; Radiator yang rusak atau buntu
; Termostat yang rusak; Cairan pendingin mesin yang habis atau terkontaminasi; Thermoswitch yang rusak; Pompa air yang rusak; Saluran pendingin yang tersumbat atau kotor",Radiator;Fanbelt;Filter;AC;Pemasangan
