Komponen,Keterangan
Shell HX-6 10/40 4Ltr, Oli mesin untuk kendaraan roda empat dengan bobot 4 liter.
Filter Oli YZZE1, Filter oli untuk kendaraan roda empat.
Filter Udara Avanza VVTi, Filter udara kualitas tinggi untuk kendaraan roda empat merek Avanza dengan teknologi VVTi.
Service Rem Depan + Belakang, Layanan perawatan rem depan dan belakang pada kendaraan roda empat.
Tune Up Injection Cleanner, Layanan tune up dengan teknologi injection cleanner untuk meningkatkan performa mesin kendaraan roda empat.
Castrol Gear GL-5 1Ltr, Oli khusus untuk sistem transmisi kendaraan roda empat dengan kapasitas 1 liter.
Kopling Set Avanza 1.5, Set kopling untuk kendaraan roda empat merek Avanza dengan ukuran 1.5.
Master Kopling Atas Avanza 1.5, Bagian kopling atas untuk kendaraan roda empat merek Avanza dengan ukuran 1.5.
Master Kopling Bawah Avanza 1.5, Bagian kopling bawah untuk kendaraan roda empat merek Avanza dengan ukuran 1.5.
Minyak Rem Dot 3, Oli khusus untuk sistem rem kendaraan roda empat dengan standar DOT 3.
Wurth Radiator Coolant 1Ltr, Cairan pendingin untuk sistem pendingin kendaraan roda empat dengan kapasitas 1 liter.
Ban GT Ecotect 185 65 R15, Ban merek GT dengan ukuran 185 65 R15 untuk kendaraan roda empat.
Poles Body (Exterior + Interior), Layanan poles body kendaraan roda empat untuk bagian eksterior dan interior.
Spooring, Layanan perawatan pada sistem suspensi kendaraan roda empat untuk memastikan keseimbangan roda.
Balancing, Layanan perawatan pada sistem keseimbangan roda kendaraan roda empat.
Trans Mounting, Layanan perawatan pada sistem transmisi kendaraan roda empat.
Jasa All Service, Layanan perawatan kendaraan roda empat secara menyeluruh.
Shell HX-6 10/40 1Ltr, Oli mesin untuk kendaraan roda empat dengan kapasitas 1 liter.
Castrol Transmax ATF Z1 1Ltr, Oli khusus untuk sistem transmisi kendaraan roda empat dengan kapasitas 1 liter.
Tune up + Carbon Cleanner, Layanan tune up dengan teknologi carbon cleanner untuk meningkatkan performa mesin kendaraan roda empat.
Wurth Radiator Coolant 5Ltr, Cairan pendingin untuk sistem pendingin kendaraan roda empat dengan kapasitas 5 liter.
Seling pembukaan tangki bensin, Seling untuk pembukaan tangki bensin pada kendaraan roda empat.
Engine Mounting (FR) LH, Bagian engine mounting untuk kendaraan roda empat bagian depan kiri.
Jasa Pasang All, Layanan pemasangan komponen kendaraan roda empat.
Stop Lamp (RR) RH, Lampu rem untuk kendaraan roda empat bagian belakang kanan.
Bohlam Rem K2 Gepeng, Lampu rem untuk kendaraan roda empat.
Bohlam K1 Gepeng (Sein), Lampu sein untuk kendaraan roda empat.
Ban Bridgestone Ecopia 205 65 R16, Ban merek Bridgestone dengan ukuran 205 65 R16 untuk kendaraan roda empat.
Uccu Cleanner, Cairan pembersih khusus untuk kendaraan roda empat.
Bersihkan Filter Bensin, Layanan pembersihan filter bensin pada kendaraan roda empat.
Radiator Corolla Altis Assy, Radiator merek Corolla Altis untuk kendaraan roda empat.
Kleman Selang Radiator (Besar), Klem man untuk selang radiator kendaraan roda empat.
Fastron Techno 10/40 4Ltr, Oli mesin khusus merek Fastron Techno untuk kendaraan roda empat dengan kapasitas 4 liter.
Fastron Techno 10/40 1Ltr, Oli mesin khusus merek Fastron Techno untuk kendaraan roda empat dengan kapasitas 1 liter.
Service Dinamo Stater (Ganti Switch otomatis), Layanan perawatan pada sistem dinamo stater kendaraan roda empat dengan penggantian switch otomatis.
"Wurth Wiper Blade Ukuran 14"" (Belakang)", Karet wiper merek Wurth dengan ukuran 14 inci untuk kendaraan roda empat bagian belakang.
Jasa Pasang Dinamo Stater, Layanan pemasangan dan perbaikan sistem dinamo stater kendaraan roda empat.
Filter Solar Ford Everest, Filter solar untuk kendaraan roda empat merek Ford Everest.
Tune Up Purging Diesel, Layanan tune up dengan teknologi purging diesel untuk meningkatkan performa mesin kendaraan roda empat.
Seal Kaliper Kit Rem (FR), Seal kaliper kit untuk sistem rem kendaraan roda empat bagian depan kanan.
Over Houl Piston Rem, Layanan perawatan pada sistem piston rem kendaraan roda empat.
Bosh Link Stabilizer, Bagian link stabilizer merek Bosh untuk kendaraan roda empat.
Tune Up Carbon Cleanner, Layanan tune up dengan teknologi carbon cleanner untuk meningkatkan performa mesin kendaraan roda empat.
Spooring, Layanan perawatan pada sistem suspensi kendaraan roda empat untuk memastikan keseimbangan roda.
Ball Joint Atas (Up) FR LH, Bagian ball joint atas untuk sistem suspensi kendaraan roda empat bagian depan kiri.
Ball Joint Bawah (Down) FR RH, Bagian ball joint bawah untuk sistem suspensi kendaraan roda empat bagian depan kanan.
Perbaikan Pintu Depan Kiri, Layanan perbaikan pada pintu kendaraan roda empat bagian depan kiri.
Poles Head Lamp R/L, Layanan poles lampu depan kendaraan roda empat bagian kanan dan kiri.
Dop Velk Variasi, Dop velg dengan variasi desain untuk kendaraan roda empat.
Filter Oli TB001, Filter oli merek TB001 untuk kendaraan roda empat.
Bohlam K2 Bulat (Rem), Lampu rem untuk kendaraan roda empat.
Bohlam T10, Lampu untuk kendaraan roda empat.
Socket Lampu H4, Socket untuk lampu kendaraan roda empat dengan teknologi H4.
Jasa Pasang, Layanan pemasangan komponen kendaraan roda empat.
Filter Bensin Innova Reborn, Filter bensin untuk kendaraan roda empat merek Innova Reborn.
Bohlam Rem K2 (Gepeng), Lampu rem untuk kendaraan roda empat.
Jasa Pasang Filter Bensin, Layanan pemasangan dan penggantian filter bensin pada kendaraan roda empat.
Engine Flush, Cairan pembersih untuk membersihkan mesin kendaraan roda empat.
Link Stabil R/L, Link stabilizer untuk kendaraan roda empat bagian kanan dan kiri.
Karet Stabil R/L, Karet stabilizer untuk kendaraan roda empat bagian kanan dan kiri.
Karet Stabil Belakang Avanza, Karet stabilizer untuk kendaraan roda empat merek Avanza bagian belakang.
Pen Kaliper Rem Depan, Pen kaliper rem untuk sistem rem kendaraan roda empat bagian depan.
W/Cylinder LH, W/cylinder untuk sistem rem kendaraan roda empat bagian kiri.
Filter Oli (Reffill), Filter oli untuk kendaraan roda empat.
Filter Udara New Camry, Filter udara untuk kendaraan roda empat merek New Camry.
Shockbreaker Belakang RR, Shockbreaker untuk sistem suspensi kendaraan roda empat bagian belakang kanan.
Toyota ATF TIV 4Ltr, Oli khusus merek Toyota untuk sistem transmisi kendaraan roda empat dengan kapasitas 4 liter.
ECU (Elektronic Control Unit) H. CR-V Gen 3, Unit kontrol elektronik merek H. CR-V Gen 3 untuk kendaraan roda empat.
Immobilizer H. CR-V Gen 3, Sistem keamanan immobilizer merek H. CR-V Gen 3 untuk kendaraan roda empat.
Boshing Arm Besar (FR) R/L, Bagian boshing arm besar untuk sistem suspensi kendaraan roda empat bagian depan kanan dan kiri.
Service Racksteer H. CR-V Gen 3, Layanan perawatan pada sistem racksteer kendaraan roda empat merek H. CR-V Gen 3.
Relay Omron AC, Relay merek Omron untuk sistem AC kendaraan roda empat.
"Wurth Wiper Blade Ukuran 16""", Karet wiper merek Wurth dengan ukuran 16 inci untuk kendaraan roda empat.
"Wurth Wiper Blade Ukuran 24""", Karet wiper merek Wurth dengan ukuran 24 inci untuk kendaraan roda empat.
Kopling Set H. CR-V Gen 3 2.0 CC, Set kopling merek H. CR-V Gen 3 dengan ukuran 2.0 CC untuk kendaraan roda empat.
Shell Manual Transmision 1Ltr, Oli khusus untuk sistem transmisi manual kendaraan roda empat dengan kapasitas 1 liter.
Link Stabilizer (FR) R/L, Link stabilizer untuk sistem suspensi kendaraan roda empat bagian depan kanan dan kiri.
Service Motor Retrack Spion, Layanan perawatan pada sistem motor retrak spion kendaraan roda empat.
Filter Oli 87702, Filter oli merek 87702 untuk kendaraan roda empat.
Packing Full Set Avanza 1.5, Set packing untuk kendaraan roda empat merek Avanza dengan ukuran 1.5.
Ring Seher OS 50, Ring seher merek OS 50 untuk kendaraan roda empat.
Seher (Piston) OS 50, Seher merek OS 50 untuk kendaraan roda empat.
Metal Jalan STD, Metal jalan dengan standar ukuran untuk kendaraan roda empat.
Metal Duduk STD, Metal duduk dengan standar ukuran untuk kendaraan roda empat.
Metal Bulan, Metal bulan untuk kendaraan roda empat.
Stang Seher (Piston), Stang seher untuk kendaraan roda empat.
