konteks	masalah sistem knalpot	masalah transmisi	masalah suspensi	gangguan listrik	masalah sistem bahan bakar	masalah kemudi	masalah ban	masalah mesin	kegagalan rem	masalah sistem pendingin	kerusakan aksesoris interior eksterior
acdryier ac sistem dingin kendara roda sistem dingin mesin fungsi optimal sistem dingin mesin kendara roda fungsi jaga suhu operasi mesin ideal mesin operasi optimal gejala indikasi mesin panas ac mati mesin panas cepat tinggi mesin panas henti lampu merah macet kipas dingin fungsi bocor sistem dingin cair dingin mesin indikator suhu mesin suhu tinggi suara mesin keras mesin mati bocor sistem dingin kipas dingin rusak fungsi radiator rusak buntu termostat rusak cair dingin mesin habis kontaminasi thermoswitch rusak pompa air rusak salur dingin sumbat kotor radiator fanbelt filter ac pasang komponen sistem dingin udara kendara roda	0	0	0	0	0	0	0	0	0	1	0
acevaporator ac sistem dingin kendara roda sistem dingin mesin fungsi optimal sistem dingin mesin kendara roda fungsi jaga suhu operasi mesin ideal mesin operasi optimal gejala indikasi mesin panas ac mati mesin panas cepat tinggi mesin panas henti lampu merah macet kipas dingin fungsi bocor sistem dingin cair dingin mesin indikator suhu mesin suhu tinggi suara mesin keras mesin mati bocor sistem dingin kipas dingin rusak fungsi radiator rusak buntu termostat rusak cair dingin mesin habis kontaminasi thermoswitch rusak pompa air rusak salur dingin sumbat kotor radiator fanbelt filter ac pasang evaporator sistem ac kendara roda	0	0	0	0	0	0	0	0	0	1	0
acfilter ac innova sistem dingin kendara roda sistem dingin mesin fungsi optimal sistem dingin mesin kendara roda fungsi jaga suhu operasi mesin ideal mesin operasi optimal gejala indikasi mesin panas ac mati mesin panas cepat tinggi mesin panas henti lampu merah macet kipas dingin fungsi bocor sistem dingin cair dingin mesin indikator suhu mesin suhu tinggi suara mesin keras mesin mati bocor sistem dingin kipas dingin rusak fungsi radiator rusak buntu termostat rusak cair dingin mesin habis kontaminasi thermoswitch rusak pompa air rusak salur dingin sumbat kotor radiator fanbelt filter ac pasang filter udara sistem dingin udara kendara roda merek innova	0	0	0	0	0	0	0	0	0	1	0
acisi freon   oli kompresor ac sistem dingin kendara roda sistem dingin mesin fungsi optimal sistem dingin mesin kendara roda fungsi jaga suhu operasi mesin ideal mesin operasi optimal gejala indikasi mesin panas ac mati mesin panas cepat tinggi mesin panas henti lampu merah macet kipas dingin fungsi bocor sistem dingin cair dingin mesin indikator suhu mesin suhu tinggi suara mesin keras mesin mati bocor sistem dingin kipas dingin rusak fungsi radiator rusak buntu termostat rusak cair dingin mesin habis kontaminasi thermoswitch rusak pompa air rusak salur dingin sumbat kotor radiator fanbelt filter ac pasang layan isi freon oli kompresor sistem dingin udara kendara roda	0	0	0	0	0	0	0	0	0	1	0
acisi freon ac sistem dingin kendara roda sistem dingin mesin fungsi optimal sistem dingin mesin kendara roda fungsi jaga suhu operasi mesin ideal mesin operasi optimal gejala indikasi mesin panas ac mati mesin panas cepat tinggi mesin panas henti lampu merah macet kipas dingin fungsi bocor sistem dingin cair dingin mesin indikator suhu mesin suhu tinggi suara mesin keras mesin mati bocor sistem dingin kipas dingin rusak fungsi radiator rusak buntu termostat rusak cair dingin mesin habis kontaminasi thermoswitch rusak pompa air rusak salur dingin sumbat kotor radiator fanbelt filter ac pasang layan isi freon sistem ac kendara roda	0	0	0	0	0	0	0	0	0	1	0
acmagnet clutch ac sistem dingin kendara roda sistem dingin mesin fungsi optimal sistem dingin mesin kendara roda fungsi jaga suhu operasi mesin ideal mesin operasi optimal gejala indikasi mesin panas ac mati mesin panas cepat tinggi mesin panas henti lampu merah macet kipas dingin fungsi bocor sistem dingin cair dingin mesin indikator suhu mesin suhu tinggi suara mesin keras mesin mati bocor sistem dingin kipas dingin rusak fungsi radiator rusak buntu termostat rusak cair dingin mesin habis kontaminasi thermoswitch rusak pompa air rusak salur dingin sumbat kotor radiator fanbelt filter ac pasang magnet clutch sistem dingin udara kendara roda	0	0	0	0	0	0	0	0	0	1	0
acoli kompresor   isi freon sistem dingin kendara roda sistem dingin mesin fungsi optimal sistem dingin mesin kendara roda fungsi jaga suhu operasi mesin ideal mesin operasi optimal gejala indikasi mesin panas ac mati mesin panas cepat tinggi mesin panas henti lampu merah macet kipas dingin fungsi bocor sistem dingin cair dingin mesin indikator suhu mesin suhu tinggi suara mesin keras mesin mati bocor sistem dingin kipas dingin rusak fungsi radiator rusak buntu termostat rusak cair dingin mesin habis kontaminasi thermoswitch rusak pompa air rusak salur dingin sumbat kotor radiator fanbelt filter ac pasang oli isi freon sistem kompresor ac kendara roda	0	0	0	0	0	0	0	0	0	1	0
accuaccu amaron ns 60 maintenance fee accu merek amaron ns 60 biaya awat rutin	0	0	0	0	0	0	0	0	0	0	0
asas mangkok celenoid sistem kemudi kendara fungsi atur arah kendara belok roda setir mobil komponen sistem kemudi mudah kemudi belok posisi roda gejala indikasi setir mobil tarik salah sisi setir mobil asa berat susah kontrol setir mobil lari kiri kanan suara dengung pekik laju cepat rendah selaras alignment ban sesuai rusa bengkok komponen setir sistem power steering alami sumbat seal rusak ban beda ukur kempes oli power steering tangki pompa oli optimal sumbat pompa oli jarang ganti kotor oli sesuai rekomendasi rusa understeel kaki kaki roda ban mobil aus seteering gear linkage joint aus pasang linkage bracket longgar bantal roda longgar setel rem sesuai stir stabilizer pasang as spooring balancing as mangkok sistem celenoid kendara roda	0	0	0	0	0	1	0	0	0	0	0
asas roda dalam kanan  rh  sistem kemudi kendara fungsi atur arah kendara belok roda setir mobil komponen sistem kemudi mudah kemudi belok posisi roda gejala indikasi setir mobil tarik salah sisi setir mobil asa berat susah kontrol setir mobil lari kiri kanan suara dengung pekik laju cepat rendah selaras alignment ban sesuai rusa bengkok komponen setir sistem power steering alami sumbat seal rusak ban beda ukur kempes oli power steering tangki pompa oli optimal sumbat pompa oli jarang ganti kotor oli sesuai rekomendasi rusa understeel kaki kaki roda ban mobil aus seteering gear linkage joint aus pasang linkage bracket longgar bantal roda longgar setel rem sesuai stir stabilizer pasang as spooring balancing komponen as roda kendara roda kanan	0	0	0	0	0	1	0	0	0	0	0
